TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,SEASON
1610612737,Atlanta Hawks,10,4,6,0.4,48.0,12.3,13.4,7.8,32.4,19.5,14.6,11.1,34.6,6,7,12,8,6,16,9,14,15,16,12,10,2,1996-97
1610612766,Charlotte Hornets,3,0,3,0.0,48.0,18.3,14.0,6.7,41.3,15.7,11.7,10.7,44.7,13,13,1,13,13,4,7,16,4,9,4,9,15,1996-97
1610612741,Chicago Bulls,19,15,4,0.789,48.0,18.4,16.4,10.1,36.9,12.8,11.6,7.6,31.5,2,1,9,1,2,3,3,8,10,2,3,1,1,1996-97
1610612765,Detroit Pistons,5,2,3,0.4,48.0,19.2,9.8,8.8,31.6,11.8,12.6,8.8,35.2,9,9,1,8,10,1,15,13,16,1,7,2,4,1996-97
1610612745,Houston Rockets,16,9,7,0.563,48.3,14.1,14.4,11.4,39.9,18.1,14.4,11.8,40.8,4,3,14,4,4,13,5,5,7,13,11,11,12,1996-97
1610612746,Los Angeles Clippers,3,0,3,0.0,48.0,18.0,14.0,10.0,38.0,15.0,10.3,15.0,43.3,13,13,1,13,13,5,7,9,8,7,1,15,13,1996-97
1610612747,Los Angeles Lakers,9,4,5,0.444,48.6,15.7,11.2,10.7,43.8,14.1,13.4,12.3,34.7,8,7,11,7,8,11,12,6,2,3,10,13,3,1996-97
1610612748,Miami Heat,17,8,9,0.471,48.0,13.3,12.5,12.4,32.8,17.7,12.4,9.5,36.6,3,4,16,6,3,15,10,4,14,12,6,3,6,1996-97
1610612750,Minnesota Timberwolves,3,0,3,0.0,48.0,18.0,19.0,9.7,45.3,14.7,11.7,14.7,40.7,13,13,1,13,13,5,1,11,1,5,4,14,11,1996-97
1610612752,New York Knicks,10,6,4,0.6,48.0,16.2,10.9,10.3,37.8,15.1,13.1,10.5,36.0,6,5,9,3,6,10,14,7,9,8,9,8,5,1996-97
1610612753,Orlando Magic,5,2,3,0.4,48.0,16.8,8.8,9.4,36.8,14.2,15.8,15.2,36.8,9,9,1,8,10,9,16,12,11,4,14,16,7,1996-97
1610612756,Phoenix Suns,5,2,3,0.4,49.0,17.4,11.4,13.2,33.2,18.6,16.8,10.0,43.6,9,9,1,8,9,8,11,1,13,14,15,5,14,1996-97
1610612757,Portland Trail Blazers,4,1,3,0.25,48.0,13.8,16.5,12.5,40.0,16.0,13.0,10.3,47.0,12,12,1,12,12,14,2,3,6,10,8,7,16,1996-97
1610612760,Seattle SuperSonics,12,6,6,0.5,48.8,18.9,15.4,13.1,43.3,16.1,15.0,12.1,37.7,5,5,12,5,5,2,4,2,3,11,13,12,8,1996-97
1610612762,Utah Jazz,20,13,7,0.65,48.3,14.3,11.1,10.0,34.3,14.9,11.6,9.7,37.7,1,2,14,2,1,12,13,10,12,6,2,4,9,1996-97
1610612764,Washington Bullets,3,0,3,0.0,48.0,17.7,14.3,7.0,40.7,19.0,18.0,10.0,38.7,13,13,1,13,13,7,6,15,5,15,16,5,10,1996-97
1610612737,Atlanta Hawks,4,1,3,0.25,48.0,15.5,11.8,10.5,30.5,14.5,9.8,10.0,37.5,12,12,1,12,12,8,10,7,16,4,2,5,9,1997-98
1610612766,Charlotte Hornets,9,4,5,0.444,48.0,13.1,9.3,10.2,33.1,15.8,12.2,11.3,33.6,7,5,9,5,8,13,15,9,11,7,8,8,3,1997-98
1610612741,Chicago Bulls,21,15,6,0.714,48.5,17.5,15.5,9.3,36.5,12.8,11.4,9.2,35.0,1,1,11,1,1,1,5,12,7,2,7,4,6,1997-98
1610612739,Cleveland Cavaliers,4,1,3,0.25,48.0,12.8,9.8,8.5,33.5,21.3,10.3,10.5,34.5,12,12,1,12,12,14,14,14,10,16,3,6,5,1997-98
1610612745,Houston Rockets,5,2,3,0.4,48.0,12.0,12.6,9.6,32.4,16.4,10.8,12.4,37.6,9,9,1,7,9,15,8,11,12,8,5,12,10,1997-98
1610612754,Indiana Pacers,16,10,6,0.625,48.3,17.0,10.9,8.2,31.3,15.5,14.3,10.8,35.3,3,3,11,3,3,3,11,15,14,5,12,7,7,1997-98
1610612747,Los Angeles Lakers,13,7,6,0.538,48.0,15.8,13.8,13.9,49.5,16.8,16.3,11.6,41.8,4,4,11,4,4,7,6,1,1,9,15,9,13,1997-98
1610612748,Miami Heat,5,2,3,0.4,48.0,16.4,9.0,6.8,31.2,17.0,14.0,12.2,34.0,9,9,1,7,9,4,16,16,15,12,11,10,4,1997-98
1610612750,Minnesota Timberwolves,5,2,3,0.4,48.0,15.4,15.6,10.6,32.0,17.0,15.0,15.4,42.8,9,9,1,7,9,9,4,6,13,12,13,15,14,1997-98
1610612751,New Jersey Nets,3,0,3,0.0,49.7,13.7,16.7,9.7,47.3,20.0,18.0,12.3,40.0,16,16,1,16,16,11,3,10,2,15,16,11,11,1997-98
1610612752,New York Knicks,10,4,6,0.4,48.5,16.3,13.3,12.9,34.2,16.8,9.2,7.7,30.0,5,5,11,7,5,5,7,3,9,11,1,2,1,1997-98
1610612756,Phoenix Suns,4,1,3,0.25,48.0,14.3,10.0,11.3,39.0,12.3,12.8,12.8,45.5,12,12,1,12,12,10,13,5,4,1,10,13,15,1997-98
1610612757,Portland Trail Blazers,4,1,3,0.25,48.0,13.5,18.5,11.5,39.0,17.8,11.3,16.0,53.0,12,12,1,12,12,12,1,4,4,14,6,16,16,1997-98
1610612759,San Antonio Spurs,9,4,5,0.444,48.6,11.4,12.0,9.2,38.9,16.8,10.3,8.6,31.8,7,5,9,5,7,16,9,13,6,10,4,3,2,1997-98
1610612760,Seattle SuperSonics,10,4,6,0.4,48.0,17.4,17.4,13.4,43.6,15.5,16.0,13.5,41.8,5,5,11,7,6,2,2,2,3,5,14,14,12,1997-98
1610612762,Utah Jazz,20,13,7,0.65,48.5,15.9,10.2,10.4,35.5,14.0,12.7,7.2,35.6,2,2,16,2,2,6,12,8,8,3,9,1,8,1997-98
1610612737,Atlanta Hawks,9,3,6,0.333,48.0,13.1,14.3,7.6,29.6,17.0,9.3,13.2,28.2,6,6,13,11,6,12,5,13,12,12,2,13,1,1998-99
1610612765,Detroit Pistons,5,2,3,0.4,48.0,18.6,9.2,11.8,24.8,13.0,12.6,7.2,31.2,9,9,2,6,10,2,14,5,14,2,9,2,5,1998-99
1610612745,Houston Rockets,4,1,3,0.25,48.0,13.0,15.0,13.0,35.0,14.8,12.3,9.8,44.5,12,12,2,12,12,13,3,3,6,5,8,7,16,1998-99
1610612754,Indiana Pacers,13,9,4,0.692,48.4,12.6,13.2,8.0,33.5,16.1,12.2,11.7,37.8,3,3,10,2,3,14,8,12,9,11,7,11,12,1998-99
1610612747,Los Angeles Lakers,8,3,5,0.375,48.0,16.4,14.3,8.9,43.0,15.9,11.5,13.5,38.3,7,6,11,9,7,7,6,11,1,10,6,15,13,1998-99
1610612748,Miami Heat,5,2,3,0.4,48.0,11.0,9.0,3.0,22.0,14.8,13.2,7.6,32.0,9,9,2,6,10,16,15,16,16,7,12,5,6,1998-99
1610612749,Milwaukee Bucks,3,0,3,0.0,49.7,19.0,12.7,11.3,33.3,17.7,20.3,10.7,34.0,15,15,2,15,15,1,10,9,10,14,16,9,8,1998-99
1610612750,Minnesota Timberwolves,4,1,3,0.25,48.0,12.5,15.3,5.5,23.0,15.8,10.5,7.3,35.0,12,12,2,12,12,15,2,15,15,9,3,3,9,1998-99
1610612752,New York Knicks,20,12,8,0.6,48.0,15.4,10.9,11.6,34.2,11.3,10.7,5.5,30.8,1,2,16,3,1,10,12,7,7,1,4,1,4,1998-99
1610612753,Orlando Magic,4,1,3,0.25,48.0,16.0,13.0,11.8,28.0,18.8,18.5,17.8,36.0,12,12,2,12,12,8,9,6,13,15,15,16,10,1998-99
1610612755,Philadelphia 76ers,8,3,5,0.375,48.0,16.6,16.5,13.6,38.3,14.1,12.8,11.8,29.3,7,6,11,9,7,6,1,1,3,3,10,12,2,1998-99
1610612756,Phoenix Suns,3,0,3,0.0,48.0,18.3,8.0,13.3,34.0,15.7,8.0,11.7,42.7,15,15,2,15,16,3,16,2,8,8,1,10,15,1998-99
1610612757,Portland Trail Blazers,13,7,6,0.538,48.0,15.5,11.8,7.0,32.5,14.8,11.2,10.4,32.0,3,4,13,4,4,9,11,14,11,6,5,8,6,1998-99
1610612758,Sacramento Kings,5,2,3,0.4,50.0,17.2,15.0,13.0,41.6,21.6,16.6,13.4,42.0,9,9,2,6,9,5,3,3,2,16,14,14,14,1998-99
1610612759,San Antonio Spurs,17,15,2,0.882,48.0,14.5,10.1,9.4,35.9,14.7,14.0,7.5,30.6,2,1,1,1,2,11,13,10,5,4,13,4,3,1998-99
1610612762,Utah Jazz,11,5,6,0.455,48.9,17.5,13.4,11.4,36.7,17.5,13.1,9.2,36.7,5,5,13,5,5,4,7,8,4,13,11,6,11,1998-99
1610612766,Charlotte Hornets,4,1,3,0.25,49.3,15.5,17.8,11.5,35.5,19.8,13.5,10.5,36.0,12,12,1,12,12,4,1,7,7,16,7,8,11,1999-00
1610612765,Detroit Pistons,3,0,3,0.0,48.0,14.0,9.0,11.7,29.3,16.7,9.3,12.3,32.7,15,15,1,15,15,9,16,5,14,14,2,15,6,1999-00
1610612754,Indiana Pacers,23,13,10,0.565,48.2,12.4,13.7,8.4,32.6,13.8,14.0,13.1,43.4,1,2,16,4,1,16,8,15,10,6,9,16,15,1999-00
1610612747,Los Angeles Lakers,23,15,8,0.652,48.2,14.6,16.3,10.1,44.3,12.9,14.0,11.2,36.6,1,1,15,1,2,7,2,12,1,3,10,12,12,1999-00
1610612748,Miami Heat,10,6,4,0.6,48.5,12.6,9.9,11.2,31.0,13.7,9.6,10.7,30.4,5,5,9,3,5,14,14,9,13,5,3,11,4,1999-00
1610612749,Milwaukee Bucks,5,2,3,0.4,48.0,14.2,10.6,14.2,37.2,13.0,16.2,7.6,30.4,9,9,1,8,9,8,13,3,5,4,15,2,4,1999-00
1610612750,Minnesota Timberwolves,4,1,3,0.25,48.0,12.8,12.0,11.5,22.5,14.8,11.5,7.5,30.0,12,12,1,12,13,13,11,7,16,8,4,1,3,1999-00
1610612752,New York Knicks,16,9,7,0.563,48.3,12.9,9.7,10.9,32.5,11.8,11.6,8.0,29.3,3,4,14,5,3,12,15,11,11,1,5,3,1,1999-00
1610612755,Philadelphia 76ers,10,5,5,0.5,48.5,16.6,15.3,13.4,42.0,13.9,13.6,10.5,34.6,5,6,10,6,5,3,4,4,2,7,8,8,8,1999-00
1610612756,Phoenix Suns,9,4,5,0.444,48.0,13.1,15.3,11.0,38.4,14.9,15.0,10.6,36.9,8,7,10,7,8,11,3,10,3,9,12,10,13,1999-00
1610612757,Portland Trail Blazers,16,10,6,0.625,48.0,15.3,13.3,9.1,36.3,12.8,12.2,10.3,29.6,3,3,12,2,4,5,9,14,6,2,6,6,2,1999-00
1610612758,Sacramento Kings,5,2,3,0.4,48.0,12.6,13.8,14.8,34.4,15.2,19.4,12.2,51.6,9,9,1,8,9,14,7,1,8,10,16,14,16,1999-00
1610612759,San Antonio Spurs,4,1,3,0.25,48.0,15.0,15.3,14.8,37.5,16.3,15.0,9.0,39.5,12,12,1,12,13,6,5,2,4,13,12,4,14,1999-00
1610612760,Seattle SuperSonics,5,2,3,0.4,48.0,19.4,14.0,11.6,33.6,15.8,14.2,10.0,34.0,9,9,1,8,9,1,6,6,9,12,11,5,7,1999-00
1610612761,Toronto Raptors,3,0,3,0.0,48.0,17.0,12.0,6.7,23.3,15.3,8.7,10.3,34.7,15,15,1,15,15,2,11,16,15,11,1,7,9,1999-00
1610612762,Utah Jazz,10,4,6,0.4,48.0,13.9,12.3,9.9,31.2,18.5,15.3,11.7,35.4,5,7,12,8,7,10,10,13,12,15,14,13,10,1999-00
1610612766,Charlotte Hornets,10,6,4,0.6,48.0,16.9,15.4,14.0,34.8,11.5,11.6,10.7,26.2,6,5,10,2,6,2,4,4,7,1,1,4,1,2000-01
1610612742,Dallas Mavericks,10,4,6,0.4,48.0,14.9,13.5,14.4,32.4,13.1,12.7,8.8,43.0,6,7,12,7,6,7,7,3,9,5,3,1,15,2000-01
1610612754,Indiana Pacers,4,1,3,0.25,48.0,11.5,12.8,8.3,29.5,12.0,17.8,17.0,36.5,11,11,2,11,12,15,10,13,13,2,13,14,8,2000-01
1610612747,Los Angeles Lakers,16,15,1,0.938,48.3,14.9,16.9,13.4,48.1,14.4,13.4,10.4,35.5,3,1,1,1,3,6,3,8,1,8,7,3,6,2000-01
1610612748,Miami Heat,3,0,3,0.0,48.0,12.7,9.0,8.7,16.0,22.3,13.3,19.7,36.0,15,15,2,15,15,11,14,12,16,16,6,15,7,2000-01
1610612749,Milwaukee Bucks,18,10,8,0.556,48.3,12.3,13.6,15.1,30.9,14.7,16.2,11.9,37.2,2,3,15,3,2,14,6,2,10,12,12,6,11,2000-01
1610612750,Minnesota Timberwolves,4,1,3,0.25,48.0,15.0,12.3,7.5,25.5,12.0,13.8,10.8,37.0,11,11,2,11,12,4,11,14,15,2,9,5,10,2000-01
1610612752,New York Knicks,5,2,3,0.4,48.0,12.4,8.8,6.8,34.8,15.6,13.8,9.4,28.4,9,9,2,7,9,13,15,16,7,13,10,2,2,2000-01
1610612753,Orlando Magic,4,1,3,0.25,49.3,12.5,13.0,14.0,40.0,14.3,19.8,22.0,40.5,11,11,2,11,11,12,8,4,3,7,15,16,14,2000-01
1610612755,Philadelphia 76ers,23,12,11,0.522,48.2,15.0,17.2,15.1,35.6,12.5,12.9,12.7,31.0,1,2,16,5,1,4,2,1,6,4,4,8,4,2000-01
1610612756,Phoenix Suns,4,1,3,0.25,48.0,18.5,9.8,14.0,30.0,14.5,20.3,13.8,37.5,11,11,2,11,12,1,13,4,11,10,16,10,12,2000-01
1610612757,Portland Trail Blazers,3,0,3,0.0,48.0,13.7,8.7,10.3,30.0,17.3,19.0,14.3,50.0,15,15,2,15,15,10,16,10,11,14,14,12,16,2000-01
1610612758,Sacramento Kings,8,3,5,0.375,48.0,16.0,17.8,13.5,38.5,17.9,13.5,13.8,39.5,8,8,11,10,8,3,1,7,5,15,8,10,13,2000-01
1610612759,San Antonio Spurs,13,7,6,0.538,48.0,11.2,12.2,9.2,38.8,14.5,15.2,12.6,36.9,4,4,12,4,4,16,12,11,4,11,11,7,9,2000-01
1610612761,Toronto Raptors,12,6,6,0.5,48.0,13.9,13.9,11.6,28.0,13.7,13.1,15.1,33.0,5,5,12,6,5,9,5,9,14,6,5,13,5,2000-01
1610612762,Utah Jazz,5,2,3,0.4,48.0,14.2,13.0,7.4,42.8,14.4,12.0,12.8,29.6,9,9,2,7,9,8,8,15,2,9,2,9,3,2000-01
1610612738,Boston Celtics,16,9,7,0.563,48.0,15.1,12.9,9.4,33.8,13.0,11.3,12.6,29.6,3,4,15,3,4,10,10,14,11,3,3,8,1,2001-02
1610612766,Charlotte Hornets,9,4,5,0.444,49.1,16.7,16.0,13.1,39.6,15.2,14.1,14.1,36.2,7,5,11,6,7,3,3,7,6,8,10,12,8,2001-02
1610612742,Dallas Mavericks,8,4,4,0.5,48.6,15.9,13.8,16.0,40.5,14.1,19.3,17.5,50.0,8,5,9,5,8,5,8,2,4,6,16,15,16,2001-02
1610612765,Detroit Pistons,10,4,6,0.4,48.0,15.7,11.8,14.0,26.4,16.3,12.4,11.1,33.0,5,5,12,7,5,6,13,4,16,10,6,5,6,2001-02
1610612754,Indiana Pacers,5,2,3,0.4,50.0,17.2,6.6,11.2,29.6,17.2,15.0,15.8,40.8,9,9,1,7,9,2,16,11,14,14,13,14,11,2001-02
1610612747,Los Angeles Lakers,19,15,4,0.789,48.3,15.3,16.1,8.5,43.4,15.2,13.3,8.5,37.2,2,1,9,1,2,9,2,16,1,7,8,3,9,2001-02
1610612750,Minnesota Timberwolves,3,0,3,0.0,48.0,8.7,21.3,18.3,41.3,17.0,11.0,14.3,30.7,15,15,1,15,15,15,1,1,3,13,1,13,3,2001-02
1610612751,New Jersey Nets,20,11,9,0.55,48.5,15.7,14.5,14.2,39.8,15.9,12.2,10.9,36.1,1,2,16,4,1,6,6,3,5,9,5,4,7,2001-02
1610612753,Orlando Magic,4,1,3,0.25,50.5,14.3,12.0,14.0,31.0,14.0,16.5,12.8,38.0,13,13,1,13,13,12,11,4,12,5,14,9,10,2001-02
1610612755,Philadelphia 76ers,5,2,3,0.4,48.0,14.0,12.0,11.8,27.2,13.6,14.2,7.8,32.0,9,9,1,7,10,13,11,9,15,4,11,1,4,2001-02
1610612757,Portland Trail Blazers,3,0,3,0.0,48.0,14.7,13.7,10.7,35.3,18.3,13.7,13.0,41.3,15,15,1,15,15,11,9,12,9,16,9,10,13,2001-02
1610612758,Sacramento Kings,16,10,6,0.625,48.6,16.4,14.5,12.4,42.1,16.8,16.7,11.9,42.0,3,3,12,2,3,4,5,8,2,11,15,6,14,2001-02
1610612759,San Antonio Spurs,10,4,6,0.4,48.0,11.2,10.4,8.7,38.6,11.0,14.3,8.1,40.8,5,5,12,7,5,14,15,15,7,2,12,2,11,2001-02
1610612760,Seattle SuperSonics,5,2,3,0.4,48.0,7.4,11.8,9.4,34.8,10.8,12.0,12.0,43.6,9,9,1,7,10,16,13,13,10,1,4,7,15,2001-02
1610612761,Toronto Raptors,5,2,3,0.4,48.0,15.4,13.8,13.2,30.0,16.8,12.6,18.0,30.4,9,9,1,7,10,8,7,6,13,12,7,16,2,2001-02
1610612762,Utah Jazz,4,1,3,0.25,48.0,19.8,15.0,11.3,36.0,17.8,11.0,13.0,32.5,13,13,1,13,14,1,4,10,8,15,1,10,5,2001-02
1610612738,Boston Celtics,10,4,6,0.4,49.5,15.7,10.5,8.4,33.2,15.5,13.0,14.6,32.8,8,8,10,10,8,10,15,13,13,7,5,15,4,2002-03
1610612742,Dallas Mavericks,20,10,10,0.5,48.5,16.5,12.4,15.0,39.4,15.4,14.6,12.8,44.2,2,3,16,4,3,6,12,3,6,6,10,10,15,2002-03
1610612765,Detroit Pistons,17,8,9,0.471,48.6,17.5,12.8,7.4,27.9,14.4,13.3,13.4,36.0,4,4,15,7,4,3,11,16,16,1,6,12,7,2002-03
1610612754,Indiana Pacers,6,2,4,0.333,48.8,12.7,14.5,11.3,33.0,14.8,10.2,10.3,30.3,11,11,1,11,11,16,6,5,14,2,1,7,2,2002-03
1610612747,Los Angeles Lakers,12,6,6,0.5,48.4,14.8,14.8,9.1,39.5,16.4,10.9,10.0,39.2,5,6,10,4,7,11,4,12,4,9,2,6,11,2002-03
1610612749,Milwaukee Bucks,6,2,4,0.333,48.8,17.8,9.2,10.7,36.0,15.0,16.8,11.8,44.3,11,11,1,11,11,2,16,9,11,4,15,8,16,2002-03
1610612750,Minnesota Timberwolves,6,2,4,0.333,48.8,14.7,10.7,8.2,33.3,18.0,17.2,9.3,42.3,11,11,1,11,11,12,14,15,12,14,16,4,14,2002-03
1610612751,New Jersey Nets,20,14,6,0.7,48.8,16.4,14.6,17.0,39.5,16.3,11.1,7.8,35.2,2,2,10,1,2,7,5,1,4,8,3,1,6,2002-03
1610612740,New Orleans Hornets,6,2,4,0.333,48.0,18.5,14.5,11.2,36.7,17.3,14.2,13.8,36.0,11,11,1,11,15,1,6,7,9,10,9,13,7,2002-03
1610612753,Orlando Magic,7,3,4,0.429,48.0,14.3,11.0,10.7,30.3,19.1,15.7,8.3,27.4,9,9,1,8,9,13,13,8,15,16,11,2,1,2002-03
1610612755,Philadelphia 76ers,12,6,6,0.5,48.8,16.0,15.2,11.8,36.5,18.3,13.6,9.9,32.7,5,6,10,4,5,9,3,4,10,15,7,5,3,2002-03
1610612756,Phoenix Suns,6,2,4,0.333,48.8,16.5,13.3,8.3,37.0,17.8,16.0,8.8,34.7,11,11,1,11,11,5,10,14,8,13,12,3,5,2002-03
1610612757,Portland Trail Blazers,7,3,4,0.429,48.0,13.6,18.3,11.3,41.4,17.4,13.7,14.3,38.6,9,9,1,8,9,14,2,6,2,11,8,14,10,2002-03
1610612758,Sacramento Kings,12,7,5,0.583,48.8,16.3,13.8,15.7,43.8,14.8,16.4,13.0,41.5,5,5,9,3,5,8,9,2,1,2,13,11,13,2002-03
1610612759,San Antonio Spurs,24,16,8,0.667,48.2,17.3,14.0,10.1,40.7,15.2,12.7,12.1,36.0,1,1,14,2,1,4,8,10,3,5,4,9,7,2002-03
1610612762,Utah Jazz,5,1,4,0.2,48.0,13.2,19.8,9.4,37.2,17.6,16.8,15.2,40.4,16,16,1,16,16,15,1,11,7,12,14,16,12,2002-03
1610612738,Boston Celtics,4,0,4,0.0,48.0,14.5,9.0,19.0,30.5,21.8,17.3,11.3,40.5,14,14,1,14,14,12,16,1,14,16,15,8,12,2003-04
1610612742,Dallas Mavericks,5,1,4,0.2,48.0,15.2,20.2,13.8,44.8,14.2,13.8,10.8,44.0,10,10,1,10,11,9,1,4,1,5,13,7,16,2003-04
1610612743,Denver Nuggets,5,1,4,0.2,48.0,20.6,13.6,14.0,39.2,16.8,10.8,11.8,28.0,10,10,1,10,11,1,4,3,3,9,5,10,1,2003-04
1610612765,Detroit Pistons,23,16,7,0.696,48.9,16.0,13.0,11.8,34.8,14.7,10.7,11.7,33.2,1,1,13,1,1,6,8,6,8,6,4,9,5,2003-04
1610612745,Houston Rockets,5,1,4,0.2,49.0,10.2,10.0,8.8,34.4,17.4,9.8,11.8,37.2,10,10,1,10,10,16,15,12,9,12,1,10,10,2003-04
1610612754,Indiana Pacers,16,10,6,0.625,48.0,14.9,13.3,7.9,33.6,12.8,9.9,12.4,29.4,4,3,12,3,4,11,5,14,10,1,2,13,2,2003-04
1610612747,Los Angeles Lakers,22,13,9,0.591,48.5,15.3,10.6,9.0,38.0,13.0,12.7,10.1,32.4,2,2,16,5,2,8,13,11,4,2,9,5,4,2003-04
1610612763,Memphis Grizzlies,4,0,4,0.0,48.0,16.3,10.8,10.8,40.5,17.0,13.3,7.0,41.0,14,14,1,14,14,4,12,8,2,10,12,2,13,2003-04
1610612748,Miami Heat,13,6,7,0.462,48.0,15.6,10.9,12.5,32.6,13.5,13.2,6.9,31.1,5,7,13,8,5,7,11,5,13,3,11,1,3,2003-04
1610612749,Milwaukee Bucks,5,1,4,0.2,48.0,13.2,10.4,11.0,33.2,20.4,13.0,16.4,43.6,10,10,1,10,11,15,14,7,12,15,10,15,15,2003-04
1610612750,Minnesota Timberwolves,18,10,8,0.556,48.3,13.8,14.0,10.0,28.1,16.6,12.7,10.4,34.1,3,3,15,7,3,14,3,10,15,8,8,6,8,2003-04
1610612751,New Jersey Nets,11,7,4,0.636,49.4,17.3,11.6,18.5,36.9,18.9,14.0,8.1,33.5,7,5,1,2,7,3,10,2,5,14,14,3,6,2003-04
1610612740,New Orleans Hornets,7,3,4,0.429,48.0,14.4,13.1,6.7,27.4,17.3,12.0,13.1,33.7,9,9,1,9,9,13,7,15,16,11,6,14,7,2003-04
1610612752,New York Knicks,4,0,4,0.0,48.0,19.8,15.5,6.0,33.5,18.0,12.3,19.5,43.5,14,14,1,14,14,2,2,16,11,13,7,16,14,2003-04
1610612758,Sacramento Kings,12,7,5,0.583,48.4,15.1,13.3,10.7,35.2,14.1,18.1,11.8,35.8,6,5,11,6,6,10,6,9,7,4,16,12,9,2003-04
1610612759,San Antonio Spurs,10,6,4,0.6,48.0,16.1,12.5,8.6,35.6,15.3,10.4,8.9,39.4,8,7,1,4,8,5,9,13,6,7,3,4,11,2003-04
1610612738,Boston Celtics,7,3,4,0.429,48.7,17.4,10.3,9.0,39.7,17.4,9.7,8.0,23.7,9,9,1,8,9,3,16,13,7,13,1,1,1,2004-05
1610612741,Chicago Bulls,6,2,4,0.333,48.0,15.7,16.7,8.8,35.0,20.2,14.7,13.8,38.0,11,11,1,11,11,7,2,14,13,16,8,13,8,2004-05
1610612742,Dallas Mavericks,13,6,7,0.462,48.4,17.0,15.5,13.9,37.2,14.4,14.8,14.8,45.2,5,5,13,6,5,5,3,2,10,6,9,15,15,2004-05
1610612743,Denver Nuggets,5,1,4,0.2,49.0,17.4,13.8,13.2,40.4,14.0,10.8,11.4,38.0,12,12,1,12,12,4,9,4,6,5,2,10,8,2004-05
1610612765,Detroit Pistons,25,15,10,0.6,48.4,16.2,14.8,11.7,34.8,12.8,11.0,9.5,35.5,1,2,16,3,1,6,6,8,14,4,3,2,3,2004-05
1610612745,Houston Rockets,7,3,4,0.429,48.0,14.3,13.3,10.7,37.1,18.4,15.4,12.4,29.4,9,9,1,8,10,11,10,10,11,15,12,12,2,2004-05
1610612754,Indiana Pacers,13,6,7,0.462,48.4,15.5,10.4,7.5,27.2,17.5,11.8,10.5,35.8,5,5,13,6,5,8,15,16,16,14,4,4,6,2004-05
1610612763,Memphis Grizzlies,4,0,4,0.0,48.0,13.5,14.5,9.8,48.0,12.3,16.0,19.5,40.5,15,15,1,15,16,14,7,11,2,2,14,16,10,2004-05
1610612748,Miami Heat,15,11,4,0.733,48.7,13.1,11.8,13.1,40.5,16.5,15.3,11.1,35.6,3,3,1,1,3,16,13,5,5,12,10,7,4,2004-05
1610612751,New Jersey Nets,4,0,4,0.0,50.5,15.5,13.0,12.0,36.5,15.3,16.5,14.5,40.5,15,15,1,15,15,9,11,7,12,9,15,14,10,2004-05
1610612755,Philadelphia 76ers,5,1,4,0.2,49.0,17.8,10.8,13.8,32.8,12.8,12.4,10.8,35.6,12,12,1,12,12,2,14,3,15,3,5,6,4,2004-05
1610612756,Phoenix Suns,15,9,6,0.6,48.3,13.7,15.0,17.5,48.7,15.7,15.4,12.1,49.3,3,4,11,3,4,13,5,1,1,10,11,11,16,2004-05
1610612758,Sacramento Kings,5,1,4,0.2,48.0,15.0,18.0,11.2,37.6,11.8,14.0,9.8,42.0,12,12,1,12,14,10,1,9,8,1,7,3,13,2004-05
1610612759,San Antonio Spurs,23,16,7,0.696,48.4,14.1,14.2,9.3,42.4,16.2,13.5,11.3,42.1,2,1,13,2,2,12,8,12,4,11,6,8,14,2004-05
