TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612743,Denver Nuggets,6,2,4,0.333,48.0,38.5,76.0,0.507,6.3,16.5,0.384,27.2,38.0,0.715,8.8,29.7,38.5,24.7,14.5,5.5,4.3,4.7,27.8,30.8,110.5,1.2,10,10,1,10,3,16,5,16,7,6,12,16,16,4,2,7,3,16,3,3,6,8,16,1,16,7,2009-10
1610612747,Los Angeles Lakers,23,16,7,0.696,48.0,34.6,79.3,0.436,6.2,19.2,0.321,22.0,27.8,0.789,11.5,28.5,40.0,20.0,12.5,6.6,4.8,6.2,23.3,23.2,97.3,-3.8,2,1,14,2,3,4,10,3,6,10,4,13,12,16,14,4,7,9,12,8,9,2,9,5,9,3,2009-10
1610612748,Miami Heat,5,1,4,0.2,48.0,34.6,73.0,0.474,7.2,16.4,0.439,19.4,25.4,0.764,7.4,32.2,39.6,22.0,15.6,9.6,4.4,5.0,18.8,22.8,95.8,8.2,14,14,1,14,3,5,2,13,10,5,16,6,7,11,1,15,5,14,1,16,7,6,1,8,7,13,2009-10
1610612749,Milwaukee Bucks,7,3,4,0.429,48.0,36.3,80.4,0.451,5.0,14.1,0.354,16.1,20.7,0.779,13.9,28.9,42.7,18.0,12.1,6.4,6.9,3.3,19.1,21.0,93.7,3.7,9,9,1,6,3,10,13,7,3,3,9,2,1,14,16,5,14,3,14,7,15,15,2,15,4,11,2009-10
1610612760,Oklahoma City Thunder,6,2,4,0.333,48.0,36.0,81.5,0.442,7.5,22.5,0.333,16.0,23.2,0.691,11.3,32.0,43.3,20.8,13.0,6.2,6.2,6.2,24.8,22.8,95.5,1.7,10,10,1,10,3,8,15,5,11,12,5,1,2,1,13,14,16,10,7,5,13,3,13,7,6,8,2009-10
1610612753,Orlando Magic,14,10,4,0.714,48.4,31.4,74.2,0.423,5.2,15.4,0.34,20.0,26.3,0.761,9.1,28.2,37.4,18.3,13.5,6.9,3.8,5.5,26.1,22.4,87.9,-8.6,4,3,1,1,1,2,4,1,4,4,6,11,9,10,4,1,1,6,5,11,2,4,14,11,1,1,2009-10
1610612756,Phoenix Suns,16,10,6,0.625,48.0,37.9,81.0,0.468,7.1,19.1,0.37,19.6,26.6,0.736,11.1,28.4,39.5,21.8,11.6,6.7,5.2,4.1,23.3,22.4,102.5,-4.6,3,3,11,3,3,13,14,11,9,8,10,8,10,6,11,2,4,13,15,9,10,14,8,10,12,2,2009-10
1610612757,Portland Trail Blazers,6,2,4,0.333,48.0,37.0,78.3,0.472,10.0,25.5,0.392,19.3,24.8,0.779,10.8,30.0,40.8,21.0,12.7,5.2,4.2,4.3,24.2,23.2,103.3,10.3,10,10,1,10,3,11,9,12,14,14,14,5,4,13,9,8,9,11,10,1,4,12,11,6,13,16,2009-10
1610612759,San Antonio Spurs,10,4,6,0.4,48.0,36.0,80.0,0.45,7.9,20.5,0.385,19.6,25.1,0.781,11.1,31.9,43.0,18.4,13.2,7.1,4.5,4.3,22.6,21.0,99.5,3.4,7,6,11,7,3,8,12,6,12,11,13,9,6,15,10,13,15,7,6,13,8,13,6,15,11,10,2009-10
1610612762,Utah Jazz,10,4,6,0.4,48.0,38.4,79.7,0.482,6.4,18.4,0.348,26.1,33.9,0.77,11.7,30.3,42.0,19.1,13.0,7.5,5.8,4.4,27.2,27.0,109.3,2.2,7,6,11,7,3,15,11,14,8,7,8,15,15,12,15,9,13,8,7,14,12,11,15,2,15,9,2009-10
1610612737,Atlanta Hawks,12,6,6,0.5,48.0,33.4,77.3,0.432,5.8,20.3,0.287,18.0,23.7,0.761,11.8,30.3,42.1,18.3,12.4,6.4,5.3,5.0,20.0,20.3,90.7,4.4,6,6,11,7,8,7,9,8,6,13,1,5,5,4,11,10,10,8,13,6,9,10,5,13,4,10,2010-11
1610612738,Boston Celtics,9,5,4,0.556,48.6,32.4,77.3,0.42,7.1,20.6,0.346,21.3,28.0,0.762,11.7,28.8,40.4,15.8,14.9,7.2,6.4,4.2,19.7,21.9,93.3,-1.3,8,7,1,4,4,1,9,2,11,14,9,10,11,6,10,6,8,1,4,9,13,11,4,6,6,6,2010-11
1610612741,Chicago Bulls,16,9,7,0.563,48.3,32.5,74.8,0.435,4.1,12.6,0.328,19.1,24.5,0.781,9.5,28.0,37.5,16.4,13.8,7.4,6.4,6.6,19.6,21.3,88.3,-4.3,4,3,14,3,6,2,4,9,2,2,5,9,8,10,3,1,2,3,5,13,12,3,3,9,2,2,2010-11
1610612742,Dallas Mavericks,21,16,5,0.762,48.2,34.2,76.5,0.447,5.3,18.4,0.29,18.8,24.4,0.77,11.3,28.8,40.1,18.0,13.6,7.2,5.1,4.1,21.6,20.1,92.5,-5.8,1,1,10,1,7,10,5,11,3,7,3,7,7,8,7,7,7,6,8,11,7,12,9,14,5,1,2010-11
1610612743,Denver Nuggets,5,1,4,0.2,48.0,33.6,80.0,0.42,7.6,22.6,0.336,27.4,34.4,0.797,12.6,35.6,48.2,16.8,13.6,6.0,8.6,3.6,25.0,23.8,102.2,4.8,13,13,1,13,8,9,13,3,14,16,8,16,16,13,14,16,16,4,7,4,16,14,16,2,16,11,2010-11
1610612754,Indiana Pacers,5,1,4,0.2,48.0,33.4,80.4,0.415,7.4,21.0,0.352,23.4,28.8,0.813,14.8,31.6,46.4,19.8,16.2,8.2,7.6,5.6,22.2,23.0,97.6,7.4,13,13,1,13,8,6,14,1,13,15,10,14,12,16,16,11,14,14,2,15,15,7,11,5,12,14,2010-11
1610612747,Los Angeles Lakers,10,4,6,0.4,48.0,34.5,73.1,0.472,7.6,19.0,0.4,17.9,23.5,0.762,7.6,28.3,35.9,22.5,13.3,7.0,3.7,5.1,21.6,20.6,94.5,1.3,7,8,11,8,8,11,1,14,14,9,15,4,4,5,1,2,1,15,9,7,2,9,10,11,9,8,2010-11
1610612763,Memphis Grizzlies,13,7,6,0.538,49.9,35.2,79.2,0.444,6.1,19.6,0.31,22.9,29.0,0.79,11.8,31.9,43.7,18.2,15.3,7.2,6.8,6.0,23.7,23.6,99.3,0.7,5,5,11,5,1,14,12,10,8,11,4,12,14,12,12,12,12,7,3,10,14,5,13,4,14,7,2010-11
1610612748,Miami Heat,21,14,7,0.667,48.5,33.1,77.3,0.428,7.3,18.5,0.393,16.6,21.8,0.762,10.1,28.8,38.9,18.8,13.0,7.0,4.2,6.0,21.5,19.2,90.1,-2.7,1,2,14,2,5,5,8,7,12,8,14,3,2,7,5,7,4,10,10,8,4,4,8,15,3,3,2010-11
1610612740,New Orleans Hornets,6,2,4,0.333,48.0,34.5,74.5,0.463,5.5,15.0,0.367,22.0,27.5,0.8,12.3,28.5,40.8,19.2,12.8,5.8,5.8,3.0,21.2,23.7,96.5,7.2,9,9,1,9,8,11,3,13,4,3,12,11,10,14,13,4,9,12,12,3,10,16,7,3,10,13,2010-11
1610612752,New York Knicks,4,0,4,0.0,48.0,39.0,81.8,0.477,7.0,15.0,0.467,14.3,18.8,0.76,11.5,32.8,44.3,24.0,16.8,7.8,5.0,6.8,21.0,18.8,99.3,8.5,16,16,1,16,8,16,15,16,10,3,16,1,1,3,9,13,13,16,1,14,6,2,6,16,13,16,2010-11
1610612760,Oklahoma City Thunder,17,9,8,0.529,49.5,34.8,82.2,0.424,5.9,17.6,0.334,25.1,31.9,0.785,11.3,28.7,40.0,18.4,12.4,8.3,5.2,7.6,23.1,25.0,100.6,-1.9,3,3,16,6,2,13,16,4,7,6,7,15,15,11,6,5,6,9,14,16,8,1,12,1,15,4,2010-11
1610612753,Orlando Magic,6,2,4,0.333,48.0,32.5,76.5,0.425,6.2,16.8,0.366,15.7,22.0,0.712,9.3,29.2,38.5,18.0,13.0,6.2,3.8,4.0,24.2,21.5,86.8,-1.8,9,9,1,9,8,2,6,5,9,5,11,2,3,1,2,9,3,5,10,5,3,13,14,7,1,5,2010-11
1610612755,Philadelphia 76ers,5,1,4,0.2,48.0,32.6,76.6,0.426,5.6,19.4,0.289,23.2,28.8,0.806,13.4,33.8,47.2,16.2,11.4,5.4,6.2,3.6,14.8,20.4,94.0,7.4,13,13,1,13,8,4,7,6,5,10,2,13,12,15,15,15,15,2,16,2,11,14,1,12,8,14,2010-11
1610612757,Portland Trail Blazers,6,2,4,0.333,48.0,33.5,73.7,0.455,7.7,20.2,0.38,18.7,24.2,0.772,11.3,28.3,39.7,19.0,12.0,5.2,3.7,5.2,19.5,20.8,93.3,5.2,9,9,1,9,8,8,2,12,16,12,13,6,6,9,7,3,5,11,15,1,1,8,2,10,6,12,2010-11
1610612759,San Antonio Spurs,6,2,4,0.333,48.8,37.5,79.0,0.475,3.7,11.0,0.333,18.8,26.0,0.724,9.5,32.8,42.3,19.3,13.7,7.3,4.8,5.8,24.5,21.5,97.5,3.2,9,9,1,9,3,15,11,15,1,1,6,8,9,2,3,14,11,13,6,12,5,6,15,7,11,9,2010-11
1610612737,Atlanta Hawks,6,2,4,0.333,48.8,33.2,76.7,0.433,4.3,14.7,0.295,16.2,20.2,0.802,7.0,34.2,41.2,19.8,12.8,9.0,6.2,3.3,18.8,19.8,86.8,4.7,11,11,1,11,2,3,5,7,2,2,2,5,1,14,1,15,7,12,11,14,10,15,2,13,2,12,2011-12
1610612738,Boston Celtics,20,11,9,0.55,48.8,33.4,78.2,0.427,5.8,17.9,0.324,15.9,22.4,0.71,10.6,31.7,42.2,18.2,13.7,6.6,4.4,4.9,19.8,21.7,88.5,-1.0,2,3,16,4,3,6,11,3,8,8,9,2,5,2,10,11,12,8,7,3,4,10,6,6,4,5,2011-12
1610612741,Chicago Bulls,6,2,4,0.333,48.0,31.7,77.8,0.407,3.3,13.5,0.247,19.3,25.7,0.753,9.8,31.3,41.2,17.2,9.8,7.5,6.3,6.7,18.8,20.5,86.0,1.7,11,11,1,11,8,1,8,1,1,1,1,12,13,7,7,9,7,5,16,10,12,5,2,10,1,9,2011-12
1610612742,Dallas Mavericks,4,0,4,0.0,48.0,35.8,76.5,0.467,8.0,21.0,0.381,20.3,24.0,0.844,7.3,32.0,39.3,17.5,12.8,8.8,7.3,3.5,24.3,20.8,99.8,6.5,15,15,1,15,8,11,4,15,14,15,14,13,11,16,2,12,3,6,12,12,14,14,15,8,15,13,2011-12
1610612743,Denver Nuggets,7,3,4,0.429,48.0,37.0,86.9,0.426,6.1,19.4,0.316,16.1,22.6,0.715,16.1,31.3,47.4,21.4,12.0,5.9,9.4,6.9,18.7,21.0,96.3,-0.4,9,9,1,7,8,14,16,2,10,12,6,4,7,3,16,8,16,14,13,1,16,2,1,7,11,7,2011-12
1610612754,Indiana Pacers,11,6,5,0.545,48.5,33.3,77.5,0.43,6.2,19.4,0.319,16.8,23.4,0.72,10.5,29.1,39.5,16.2,13.4,6.8,5.5,5.5,20.4,22.0,89.5,-1.4,7,6,10,5,5,4,6,4,12,11,8,6,9,4,9,4,5,2,9,5,7,7,8,5,5,4,2011-12
1610612746,Los Angeles Clippers,11,4,7,0.364,48.5,34.7,76.5,0.454,5.6,15.5,0.365,20.5,27.7,0.738,11.5,30.5,42.0,20.1,15.1,7.3,5.0,6.5,21.5,24.1,95.5,4.6,7,8,12,10,5,10,3,13,6,5,11,14,15,5,13,6,11,13,2,8,5,6,12,2,9,11,2011-12
1610612747,Los Angeles Lakers,12,5,7,0.417,48.0,37.9,85.6,0.443,5.3,17.8,0.296,17.1,22.1,0.774,13.3,31.5,44.8,19.2,10.3,7.8,7.4,7.8,21.7,19.7,98.2,4.2,6,7,12,9,8,15,15,9,4,7,3,8,4,13,15,10,14,10,15,11,15,1,13,14,14,10,2011-12
1610612763,Memphis Grizzlies,7,3,4,0.429,48.7,33.3,73.7,0.452,6.1,17.6,0.35,18.0,26.9,0.67,9.3,27.7,37.0,16.3,15.1,9.3,6.1,4.9,25.6,23.3,90.7,-0.7,9,9,1,7,4,5,2,12,10,6,10,11,14,1,4,1,1,4,1,16,9,11,16,3,7,6,2011-12
1610612748,Miami Heat,23,16,7,0.696,48.4,33.5,77.7,0.431,5.5,18.4,0.3,17.8,23.3,0.764,10.7,28.7,39.4,15.8,14.3,6.9,3.8,5.0,23.9,20.6,90.3,-7.1,1,1,12,2,7,7,7,6,5,10,5,10,8,11,11,2,4,1,3,6,2,9,14,9,6,1,2011-12
1610612752,New York Knicks,5,1,4,0.2,48.0,33.0,72.4,0.456,8.0,21.8,0.367,22.8,30.2,0.755,9.8,28.8,38.6,19.0,13.6,9.2,3.8,2.2,19.8,24.2,96.8,14.0,13,13,1,13,8,2,1,14,14,16,12,16,16,8,6,3,2,9,8,15,1,16,6,1,12,15,2011-12
1610612760,Oklahoma City Thunder,20,13,7,0.65,48.0,34.5,78.2,0.441,7.8,20.2,0.384,20.5,25.5,0.806,10.3,30.1,40.4,17.8,14.2,6.3,4.1,6.9,20.9,22.4,97.3,-4.0,2,2,12,3,8,9,10,8,13,13,15,15,12,15,8,5,6,7,5,2,3,3,9,4,13,3,2011-12
1610612753,Orlando Magic,5,1,4,0.2,49.0,36.4,81.8,0.445,5.8,18.2,0.319,16.0,20.8,0.769,13.2,33.6,46.8,16.2,14.0,7.4,6.2,4.4,19.0,19.0,94.6,10.8,13,13,1,13,1,13,14,11,8,9,7,3,3,12,14,13,15,3,6,9,11,13,4,15,8,14,2011-12
1610612755,Philadelphia 76ers,13,7,6,0.538,48.0,33.5,77.9,0.43,4.4,14.8,0.297,15.5,20.3,0.761,9.4,34.2,43.6,22.2,14.3,6.8,6.0,5.3,21.0,18.7,86.9,1.2,5,5,11,6,8,8,9,5,3,3,4,1,2,10,5,16,13,16,4,4,8,8,11,16,3,8,2011-12
1610612759,San Antonio Spurs,14,10,4,0.714,48.0,36.4,81.7,0.445,5.7,15.4,0.37,17.6,23.5,0.751,10.8,30.9,41.7,19.3,13.3,8.8,7.0,4.6,20.9,20.4,96.1,-5.9,4,4,1,1,8,12,13,10,7,4,13,9,10,6,12,7,9,11,10,13,13,12,10,11,10,2,2011-12
1610612762,Utah Jazz,4,0,4,0.0,48.0,38.5,80.0,0.481,8.3,20.3,0.407,17.0,22.5,0.756,7.8,34.0,41.8,21.5,11.8,7.3,5.5,6.8,19.8,20.3,102.3,16.0,15,15,1,15,8,16,12,16,16,14,16,7,6,9,3,14,10,15,14,7,6,4,5,12,16,16,2011-12
1610612737,Atlanta Hawks,6,2,4,0.333,48.0,32.8,79.2,0.415,6.3,21.0,0.302,22.5,28.7,0.785,12.8,36.5,49.3,19.7,15.5,6.8,4.8,3.8,23.8,24.2,94.5,5.2,10,10,1,10,11,2,8,2,4,9,1,15,15,13,16,16,16,7,5,7,9,13,12,3,7,10,2012-13
1610612738,Boston Celtics,6,2,4,0.333,48.8,33.0,80.2,0.412,8.0,24.0,0.333,13.7,18.2,0.752,10.5,31.8,42.3,15.0,12.8,10.3,4.3,3.0,21.3,18.8,87.7,5.3,10,10,1,10,6,3,9,1,13,13,6,2,1,7,10,8,10,1,11,16,6,14,7,15,2,11,2012-13
1610612751,Brooklyn Nets,7,3,4,0.429,50.1,39.3,83.7,0.469,4.6,15.0,0.305,14.3,20.6,0.694,10.7,31.0,41.7,21.4,13.1,6.0,5.7,5.6,21.7,19.9,97.4,-2.0,9,9,1,8,1,14,13,13,2,2,2,3,4,2,11,6,6,12,10,3,12,3,8,12,9,4,2012-13
1610612741,Chicago Bulls,12,5,7,0.417,49.3,36.0,78.5,0.459,6.6,19.8,0.333,20.0,26.3,0.759,9.9,29.7,39.6,21.1,12.2,7.0,5.8,4.6,21.2,22.4,98.6,6.7,5,7,13,9,3,9,6,12,5,6,6,11,12,9,5,4,3,10,13,9,13,10,6,9,10,14,2012-13
1610612743,Denver Nuggets,6,2,4,0.333,48.0,40.2,81.3,0.494,9.8,24.3,0.404,17.0,21.7,0.785,10.0,33.2,43.2,23.8,18.7,6.5,6.7,2.8,23.5,23.2,107.2,4.2,10,10,1,10,11,15,10,15,15,14,16,5,6,12,7,13,12,16,1,4,15,15,11,6,16,9,2012-13
1610612744,Golden State Warriors,12,6,6,0.5,49.3,37.5,85.4,0.439,7.5,22.4,0.335,20.0,27.3,0.732,11.5,30.3,41.8,21.8,13.2,8.6,3.5,4.9,21.9,23.8,102.5,-0.2,5,5,9,5,3,13,16,8,12,12,10,11,13,3,13,5,7,13,9,13,2,8,9,4,13,7,2012-13
1610612745,Houston Rockets,6,2,4,0.333,48.0,37.2,82.7,0.45,10.2,28.3,0.359,21.3,25.2,0.848,9.7,32.8,42.5,20.2,12.8,7.8,7.3,5.5,24.7,23.2,105.8,5.8,10,10,1,10,11,12,12,9,16,16,14,14,9,16,4,12,11,9,11,12,16,4,14,6,15,13,2012-13
1610612754,Indiana Pacers,19,11,8,0.579,48.3,33.6,78.5,0.428,7.1,19.8,0.355,17.4,23.1,0.754,9.9,26.6,36.5,17.0,11.4,7.4,4.7,4.5,24.8,22.4,91.6,-0.2,3,3,16,3,10,5,7,5,9,7,13,7,7,8,6,1,1,3,14,11,7,11,15,8,4,8,2012-13
1610612746,Los Angeles Clippers,6,2,4,0.333,48.0,34.8,76.2,0.457,4.3,13.3,0.325,26.2,34.3,0.762,10.3,27.5,37.8,21.2,10.3,6.5,4.2,5.7,23.8,27.8,100.2,5.5,10,10,1,10,11,7,4,11,1,1,5,16,16,10,8,2,2,11,15,4,3,2,12,1,12,12,2012-13
1610612747,Los Angeles Lakers,4,0,4,0.0,48.0,41.3,84.0,0.491,6.0,17.0,0.353,15.5,19.3,0.805,8.8,33.5,42.3,23.8,10.0,10.3,5.0,5.3,18.0,17.5,104.0,18.8,15,15,1,15,11,16,15,14,3,3,11,4,2,15,2,15,9,15,16,15,11,6,1,16,14,16,2012-13
1610612763,Memphis Grizzlies,15,8,7,0.533,49.0,35.1,78.1,0.45,6.7,20.1,0.334,17.1,21.5,0.795,8.7,31.5,40.2,19.1,14.0,5.1,6.5,4.6,25.3,22.1,94.1,-0.6,4,4,13,4,5,8,5,10,6,8,8,6,5,14,1,7,4,6,6,1,14,9,16,11,6,6,2012-13
1610612748,Miami Heat,23,16,7,0.696,48.4,33.0,75.7,0.436,6.7,19.1,0.353,18.0,24.5,0.732,11.5,28.8,40.3,17.7,16.0,6.9,3.4,5.4,21.0,22.2,90.7,-6.4,1,1,13,2,8,3,3,7,7,4,12,8,8,4,14,3,5,4,4,8,1,5,4,10,3,2,2012-13
1610612749,Milwaukee Bucks,4,0,4,0.0,48.0,37.0,74.5,0.497,7.0,21.8,0.322,19.0,25.8,0.738,10.8,32.8,43.5,23.5,17.0,9.3,4.3,2.5,20.3,19.8,100.0,14.8,15,15,1,15,11,11,2,16,8,10,3,9,11,5,12,10,14,14,2,14,5,16,3,13,11,15,2012-13
1610612752,New York Knicks,12,6,6,0.5,48.4,29.7,70.7,0.42,7.1,22.0,0.322,19.5,25.4,0.767,8.8,33.3,42.2,16.8,16.8,5.1,4.2,4.3,18.9,23.8,85.9,-2.7,5,5,9,5,9,1,1,4,10,11,4,10,10,11,3,14,8,2,3,2,3,12,2,4,1,3,2012-13
1610612760,Oklahoma City Thunder,11,5,6,0.455,48.5,33.9,81.6,0.415,8.5,25.5,0.335,20.7,28.0,0.74,10.5,32.8,43.3,17.7,13.4,6.7,4.9,7.0,22.1,24.9,97.1,-1.4,8,7,9,7,7,6,11,3,14,15,9,13,14,6,9,11,13,5,8,6,10,1,10,2,8,5,2012-13
1610612759,San Antonio Spurs,21,15,6,0.714,49.4,36.3,83.9,0.432,7.2,19.4,0.371,13.6,19.6,0.693,11.7,32.0,43.6,19.8,13.6,7.3,4.7,5.0,21.1,19.1,93.3,-7.0,2,2,9,1,2,10,14,6,11,5,15,1,3,1,15,9,15,8,7,10,8,7,5,14,5,1,2012-13
1610612737,Atlanta Hawks,7,3,4,0.429,48.0,34.4,76.6,0.45,7.7,21.3,0.362,16.9,22.7,0.742,9.4,35.6,45.0,20.4,14.9,8.0,6.3,4.6,22.6,20.9,93.4,1.0,9,9,1,8,8,4,6,7,8,4,9,4,4,4,7,16,14,12,3,12,13,5,9,10,3,6,2013-14
1610612751,Brooklyn Nets,12,5,7,0.417,48.0,33.6,72.4,0.464,7.5,22.6,0.332,22.2,26.7,0.831,8.3,29.9,38.3,17.3,12.9,6.2,4.0,2.8,22.6,22.3,96.8,1.3,6,7,11,13,8,3,1,10,5,10,3,14,12,15,2,4,4,1,9,3,6,15,10,7,6,9,2013-14
1610612766,Charlotte Bobcats,4,0,4,0.0,48.0,36.3,76.0,0.477,9.5,22.0,0.432,19.8,26.0,0.76,5.3,31.5,36.8,21.0,10.5,7.3,4.5,4.5,19.8,20.3,101.8,9.8,16,16,1,16,8,9,4,14,15,6,16,10,11,10,1,10,1,13,15,9,10,7,3,15,9,16,2013-14
1610612741,Chicago Bulls,5,1,4,0.2,49.0,35.2,80.0,0.44,6.2,16.2,0.383,18.0,25.6,0.703,11.4,31.6,43.0,20.4,10.4,8.2,6.6,4.4,22.2,22.0,94.6,4.6,15,15,1,15,5,7,9,4,1,1,13,6,9,1,10,11,12,11,16,13,14,8,8,9,4,13,2013-14
1610612742,Dallas Mavericks,7,3,4,0.429,48.0,38.6,77.6,0.497,7.0,18.3,0.383,19.0,25.4,0.747,8.9,32.7,41.6,19.9,13.7,7.1,3.6,4.1,19.6,20.3,103.1,2.0,9,9,1,8,8,12,8,16,4,3,14,9,8,8,4,13,9,9,7,8,3,11,1,14,11,11,2013-14
1610612744,Golden State Warriors,7,3,4,0.429,48.0,38.7,82.3,0.47,9.6,26.3,0.364,23.9,32.0,0.746,11.4,29.6,41.0,23.7,14.3,10.1,5.1,4.6,23.0,25.3,110.9,4.4,9,9,1,8,8,14,12,13,16,16,11,16,16,7,11,3,8,16,4,16,12,5,11,3,15,12,2013-14
1610612745,Houston Rockets,6,2,4,0.333,50.5,39.8,87.8,0.454,9.3,25.7,0.364,22.7,28.2,0.805,12.2,30.5,42.7,18.5,11.8,7.3,9.2,5.0,24.8,26.0,111.7,-0.3,14,14,1,14,2,15,15,8,14,15,10,15,13,14,14,7,11,4,11,10,16,4,16,1,16,5,2013-14
1610612754,Indiana Pacers,19,10,9,0.526,48.0,33.5,76.9,0.435,8.8,25.1,0.353,16.8,21.7,0.774,9.3,30.6,39.9,18.5,13.6,6.8,4.3,4.2,21.6,20.7,92.6,1.0,3,3,15,4,8,2,7,3,12,14,7,3,2,13,6,9,6,5,8,7,9,10,6,12,2,6,2013-14
1610612746,Los Angeles Clippers,13,6,7,0.462,48.0,38.0,81.3,0.467,8.7,24.5,0.355,22.1,28.5,0.774,11.9,32.1,44.0,22.5,16.4,6.4,4.8,4.4,24.1,24.3,106.8,-2.0,5,5,11,6,8,11,10,12,11,12,8,13,14,12,13,12,13,14,1,5,11,9,14,4,13,2,2013-14
1610612763,Memphis Grizzlies,7,3,4,0.429,50.9,36.1,83.1,0.435,8.0,24.7,0.324,21.9,25.9,0.845,13.4,34.7,48.1,18.6,15.6,6.0,7.6,2.4,23.0,20.9,102.1,5.4,9,9,1,8,1,8,13,2,10,13,2,11,10,16,15,15,16,6,2,2,15,16,11,10,10,14,2013-14
1610612748,Miami Heat,20,13,7,0.65,48.0,35.2,73.5,0.478,9.0,22.3,0.404,16.2,22.4,0.725,9.2,28.8,38.0,20.1,13.8,5.8,2.8,3.9,19.6,20.7,95.5,-1.8,2,2,11,2,8,6,2,15,13,9,15,1,3,2,5,2,3,10,6,1,1,12,2,13,5,3,2013-14
1610612760,Oklahoma City Thunder,19,10,9,0.526,49.3,38.7,87.6,0.442,7.6,21.7,0.35,18.6,24.7,0.751,11.8,30.1,41.9,22.8,11.5,8.5,3.1,6.2,22.2,23.0,103.5,1.1,3,3,15,4,4,13,14,5,6,5,5,7,6,9,12,5,10,15,14,15,2,1,7,5,12,8,2013-14
1610612757,Portland Trail Blazers,11,5,6,0.455,49.4,41.9,90.3,0.464,7.9,22.7,0.348,18.8,25.3,0.745,13.5,33.3,46.8,19.8,11.8,7.8,4.3,6.0,23.3,22.5,110.5,6.3,7,7,10,7,3,16,16,11,9,11,4,8,7,6,16,14,15,8,12,11,7,2,13,6,14,15,2013-14
1610612759,San Antonio Spurs,23,16,7,0.696,48.2,36.6,82.2,0.445,7.7,22.0,0.35,16.2,21.1,0.769,9.6,30.6,40.2,17.7,14.2,6.6,3.7,3.5,21.6,19.8,97.0,-9.3,1,1,11,1,7,10,11,6,7,6,6,2,1,11,9,8,7,2,5,6,5,13,5,16,7,1,2013-14
